Code;Name;Modellarten;Status
90000;Ändern in Verzeichnissen ohne Grundbucheintragung;DLKM;Gültig
90100;Verwaltung eintragen oder ändern;DLKM;Gültig
90200;Personengruppe eintragen oder ändern;DLKM;Gültig
90300;Änderung der Anschrift;DLKM;Gültig
90400;Änderung der Personendaten;DLKM;Gültig
90500;Entstehung eines Festpunkts (erstmalige Aufnahme in AFIS);DFGM;Gültig
90510;Änderung von Koordinaten, Höhe und/oder Schwerewert eines Festpunkts;DFGM;Gültig
90520;Veränderung der Vermarkung und/oder der beschreibenden Angaben eines Festpunkts;DFGM;Gültig
90530;Zerstörung der Vermarkung eines Festpunkts;DFGM;Gültig
90540;Untergang eines Festpunktes;DFGM;Gültig
1000;Grundaktualisierung;"Basis-DLM
DTK10
DTK25
DLM50
DLM250
DLM1000";Gültig
100000;Veränderung der Angaben zu den Nutzerprofilen;DLKM;Gültig
2000;Spitzenaktualisierung;"Basis-DLM
DTK10
DTK25
DLM50
DLM250
DLM1000";Gültig
200000;Veränderung von Gebäudedaten;DLKM;Gültig
200100;Eintragen eines Gebäudes;DLKM;Gültig
200200;Veränderung der Gebäudeeigenschaften;DLKM;Gültig
200300;Löschen eines Gebäudes;DLKM;Gültig
3000;Modellgeneralisierung;"DLM50
DLM250
DLM1000";Gültig
300000;Sonstige Daten fortführen;"DLKM
Basis-DLM
DLM50
DLM250
DLM1000
DHM";Gültig
300100;Veränderungen der Angaben zum Netzpunkt;DLKM;Gültig
300200;Veränderung der Angaben zum Objektartenbereich 'Bauwerke, Einrichtungen und sonstigen Angaben';DLKM;Veraltet
300200;Veränderung von Bauwerken, Einrichtungen und sonstigen Angaben;DLKM;Gültig
300300;Veränderung der Angaben zum Objektartenbereich 'Tatsächlichen Nutzung';DLKM;Veraltet
300300;Veränderung der tatsächlichen Nutzung;DLKM;Gültig
300400;Veränderung der Angaben zum Objektartenbereich 'Gesetzliche Festlegungen, Gebietseinheiten, Kataloge';DLKM;Veraltet
300400;Veränderung von gesetzlichen Festlegungen, Gebietseinheiten, Katalogen;DLKM;Gültig
300410;Veränderung der öffentlich-rechtlichen und sonstigen Festsetzungen;DLKM;Gültig
300420;Veränderung der Bodenschätzung;DLKM;Gültig
300421;"Erfassung der Bodenschätzung 
Mit dieser Fortführung werden die Angaben zur Bodenschätzung aus der Urschätzung erfasst.";DLKM;Gültig
300430;Veränderung der Bewertung;DLKM;Gültig
300440;Veränderung der Gebietseinheiten;DLKM;Gültig
300500;Veränderung der Geometrie auf Grund der Homogenisierung;DLKM;Veraltet
300500;Veränderung aufgrund der Kartenanpassung;DLKM;Gültig
300501;"Veränderung aufgrund der Homogenisierung 
Bei der Fortführung mit Geometriebezug wird durch die Homogenisierung die Punkt-Lagegenauigkeit der raumbezogenen Bestandsdaten verbessert.";DLKM;Gültig
300600;Veränderung der Reservierung von Fachkennzeichen;DLKM;Gültig
300700;"Veränderung von Katalogeinträgen 
Veränderung der OA der abstrakten Oberklasse ""Katalogeintrag""";DLKM;Gültig
300800;Veränderung von Metadaten;DLKM;Gültig
300900;Veränderung der Geometrie durch Implizitbehandlung;"DLKM
DFGM
Basis-DLM";Gültig
4000;Automatische Kartographische Generalisierung;"DTK10
DTK25
DTK50
DTK100
DTK250
DTK1000";Veraltet
4000;Automatische Kartographische Generalisierung ohne Konflikt;"DTK10
DTK25
DTK50
DTK100
DTK250
DTK1000";Gültig
4100;Automatische Kartographische Generalisierung mit Konflikt;"DTK10
DTK25
DTK50
DTK100
DTK250
DTK1000";Gültig
5000;Interaktive Kartographische Generalisierung;"Basis-DLM
DTK10
DTK25
DTK50
DTK100
DTK250
DTK1000";Gültig
6000;Veränderung an der Landesgrenze und des Gebietes;"DLKM
Basis-DLM
DTK10
DTK25
DLM50
DTK50
DTK100
DLM250
DTK250
DLM1000
DTK1000";Gültig
9999;Sonstiges;DFGM;Gültig
